N,P,K,temperature,humidity,ph,label
76,47,42,20.0837,83.29115,5.739175,Paddy
77,36,37,26.88445,81.46034,6.136132,Paddy
81,53,42,23.67575,81.03569,5.177823,Paddy
83,58,45,25.75529,83.51827,5.875346,Paddy
84,51,35,22.30157,80.64416,6.043305,Paddy
75,38,39,23.44677,84.79352,6.21511,Paddy
98,53,38,20.26708,81.63895,5.014507,Paddy
73,57,41,21.44654,84.94376,5.824709,Paddy
90,46,42,23.97898,81.45062,7.502834,Paddy
60,51,36,22.69658,82.81089,6.028322,Paddy
76,49,42,24.95878,84.47963,5.206373,Paddy
89,45,36,21.32504,80.47476,6.442475,Paddy
76,60,39,20.04541,80.34776,6.76624,Paddy
67,47,44,26.73072,81.78597,7.868475,Paddy
64,45,43,25.6298,83.52842,5.534878,Paddy
67,43,39,26.04372,84.96907,5.999969,Paddy
76,40,43,25.15746,83.11713,5.070176,Paddy
79,42,37,24.87301,82.84023,6.587919,Paddy
68,58,38,23.22397,83.03323,6.336254,Paddy
88,46,42,22.68319,83.46358,6.604993,Paddy
74,35,40,26.4911,80.15836,6.980401,Paddy
82,40,40,23.83067,84.8136,6.271479,Paddy
90,44,38,23.8351,83.88387,7.473134,Paddy
94,50,37,25.66585,80.66385,6.94802,Paddy
92,35,40,22.17932,80.33127,6.357389,Paddy
81,45,35,26.52873,80.12267,6.158377,Paddy
60,49,44,20.77576,84.49774,6.244841,Paddy
72,40,38,20.41447,82.20803,7.592491,Paddy
91,35,39,23.79392,80.41818,6.97086,Paddy
75,54,36,26.29465,84.56919,7.023936,Paddy
66,60,38,22.08577,83.47038,6.372576,Paddy
85,52,45,26.31355,82.36699,7.224286,Paddy
97,59,43,26.35927,84.04404,6.2865,Paddy
95,39,36,23.8633,83.15251,5.561399,Paddy
88,54,44,25.73543,83.88266,6.149411,Paddy
65,37,40,23.35905,83.59512,5.333323,Paddy
86,59,35,25.78721,82.11124,6.946636,Paddy
68,57,43,26.08868,80.3798,5.706943,Paddy
69,46,41,23.64125,80.28598,5.01214,Paddy
94,53,40,20.27774,82.89409,5.718627,Paddy
99,57,35,26.75754,81.17734,5.96037,Paddy
85,37,39,24.52784,82.73686,6.364135,Paddy
78,58,44,26.8008,80.88685,5.108682,Paddy
99,54,37,21.14347,80.33503,5.59482,Paddy
74,39,38,23.24114,84.59202,7.782051,Paddy
81,41,38,22.67846,83.72874,7.52408,Paddy
72,45,35,25.42978,82.94683,5.758506,Paddy
98,47,37,23.48381,81.33265,7.375483,Paddy
93,58,38,20.61521,83.77346,6.9324,Paddy
73,35,38,24.88921,81.97927,5.005307,Paddy
88,55,45,24.63545,80.41363,7.730368,Paddy
78,40,38,26.46428,83.85643,7.549874,Paddy
40,8,72,24.79853,91.58077,6.793245,Wheat
50,10,90,23.20684,91.15088,6.576261,Wheat
40,8,72,23.66805,91.7943,6.751453,Wheat
105,21,189,25.12418,91.07356,6.560743,Wheat
80,16,144,23.89069,92.86057,6.938313,Wheat
75,15,135,23.09434,94.31388,6.991626,Wheat
50,10,90,24.21745,95.64808,6.9777,Wheat
45,9,81,24.06476,91.53721,6.833769,Wheat
55,11,99,24.85441,96.64573,6.73917,Wheat
65,13,117,26.41915,95.11295,6.993473,Wheat
60,12,108,24.89326,93.6998,6.757471,Wheat
70,14,126,23.25583,90.92669,6.850663,Wheat
110,22,198,24.76345,90.98618,6.742749,Wheat
150,30,270,24.97043,96.18844,6.506121,Wheat
75,15,135,26.12797,91.81321,6.989927,Wheat
90,18,162,25.97826,96.93649,6.692156,Wheat
80,16,144,26.28306,96.46169,6.54403,Wheat
105,21,189,26.38905,96.34855,6.927804,Wheat
55,11,99,25.27463,96.65809,6.721836,Wheat
110,22,198,23.095,95.23798,6.992234,Wheat
115,23,207,25.79352,96.61362,6.704204,Wheat
125,25,225,23.17403,93.40549,6.702425,Wheat
120,24,216,25.63215,95.01631,6.641099,Wheat
65,13,117,25.8488,91.30925,6.585346,Wheat
155,31,279,26.56767,96.00155,6.563135,Wheat
110,22,198,26.24532,90.01735,6.502289,Wheat
45,9,81,26.91515,94.18956,6.800321,Wheat
85,17,153,24.36972,95.48763,6.721131,Wheat
80,16,144,25.71901,94.01014,6.574678,Wheat
70,14,126,25.01158,95.78923,6.919342,Wheat
60,12,108,25.40786,96.00396,6.51978,Wheat
65,13,117,23.28081,96.65249,6.687088,Wheat
75,15,135,23.98652,96.30484,6.747976,Wheat
110,22,198,24.48556,96.66355,6.651491,Wheat
115,23,207,25.86705,91.95615,6.502675,Wheat
125,25,225,23.56438,93.3141,6.825371,Wheat
120,24,216,24.22488,91.20106,6.991041,Wheat
135,27,243,25.49387,93.64761,6.511625,Wheat
130,26,234,24.97179,92.73041,6.931721,Wheat
140,28,252,24.80625,91.64509,6.712772,Wheat
105,21,189,23.16815,93.27566,6.630165,Wheat
145,29,261,24.25133,96.08951,6.761953,Wheat
60,12,108,26.58361,96.62048,6.691202,Wheat
115,23,207,26.82489,91.91185,6.608668,Wheat
125,25,225,25.49675,92.1717,6.840802,Wheat
105,21,189,24.09874,96.76865,6.834808,Wheat
145,29,261,23.18867,91.15088,6.953439,Wheat
135,27,243,26.24347,91.7943,6.665025,Wheat
45,9,81,23.75092,91.07356,6.662876,Wheat
40,8,72,26.13872,92.86057,6.678696,Wheat
115,23,207,26.14577,94.31388,6.542777,Wheat
30,6,54,26.91644,95.64808,6.839444,Wheat
40,8,72,26.5233,91.53721,6.805277,Wheat
105,21,189,23.8158,96.64573,6.762522,Wheat
80,16,144,26.50839,95.11295,6.678449,Wheat
75,15,135,26.63952,93.6998,6.577192,Wheat
50,10,90,23.32501,90.92669,6.734006,Wheat
45,9,81,26.4755,90.98618,6.524459,Wheat
55,11,99,23.78756,96.18844,6.501521,Wheat
65,13,117,25.49942,91.81321,6.793245,Wheat
60,12,108,23.24926,96.08951,6.576261,Wheat
70,14,126,26.98582,96.62048,6.751453,Wheat
110,22,198,23.61475,91.91185,6.560743,Wheat
150,30,270,23.87484,92.1717,6.938313,Wheat
75,15,135,23.92888,96.76865,6.991626,Wheat
90,18,162,24.81441,91.15088,6.9777,Wheat
80,16,144,24.44744,91.7943,6.833769,Wheat
105,21,189,26.57422,91.07356,6.73917,Wheat
55,11,99,26.33378,92.86057,6.993473,Wheat
110,22,198,26.45288,94.31388,6.757471,Wheat
115,23,207,25.70823,95.64808,6.850663,Wheat
125,25,225,24.12833,96.18844,6.742749,Wheat
120,24,216,23.44372,91.81321,6.506121,Wheat
65,13,117,23.41237,96.08951,6.608668,Wheat
155,31,279,23.05952,96.62048,6.840802,Wheat
110,22,198,23.07895,91.91185,6.834808,Wheat
45,9,81,27.64961,92.1717,6.953439,Wheat
85,17,153,25.46744,96.62048,6.665025,Wheat
80,16,144,26.73506,91.91185,6.662876,Wheat
70,14,126,26.20811,92.1717,6.678696,Wheat
60,12,108,27.04242,96.76865,6.542777,Wheat
65,13,117,24.6509,91.15088,6.839444,Wheat
75,15,135,27.35153,91.7943,6.805277,Wheat
110,22,198,25.17788,91.07356,6.762522,Wheat
115,23,207,23.11439,92.86057,6.678449,Wheat
125,25,225,27.22784,94.31388,6.577192,Wheat
120,24,216,23.26317,95.64808,6.734006,Wheat
135,27,243,25.23466,96.18844,6.524459,Wheat
130,26,234,25.59535,93.3141,6.501521,Wheat
140,28,252,25.56748,91.20106,6.577192,Wheat
105,21,189,25.67324,93.64761,6.734006,Wheat
145,29,261,24.40727,92.73041,6.524459,Wheat
60,12,108,27.35153,91.64509,6.501521,Wheat
115,23,207,25.17788,93.27566,6.502675,Wheat
125,25,225,23.11439,96.08951,6.825371,Wheat
105,21,189,27.22784,96.62048,6.991041,Wheat
135,27,243,25.23466,92.1717,6.931721,Wheat
45,9,81,25.59535,96.76865,6.712772,Wheat
115,23,207,25.56748,91.20106,6.630165,Wheat
40,8,72,24.40727,92.73041,6.691202,Wheat
10,50,49,18.29784,90.93898,6.159021,Potato
8,40,39,20.41435,92.92368,6.360955,Potato
21,105,104,22.84064,94.3392,6.404907,Potato
16,80,79,23.94414,93.51978,6.006053,Potato
15,75,74,23.8799,90.74532,6.067665,Potato
10,50,49,20.04677,92.12992,6.419083,Potato
11,55,54,23.13164,92.5478,6.375923,Potato
13,65,64,22.49584,91.9236,6.400338,Potato
12,60,59,18.28766,92.15595,6.465313,Potato
14,70,69,22.38042,93.45068,6.399891,Potato
22,110,109,21.31852,94.36804,6.18677,Potato
30,150,149,18.54142,92.43764,6.159021,Potato
15,75,74,21.28711,90.70476,6.460955,Potato
18,90,89,20.4346,90.22507,6.404907,Potato
16,80,79,20.83601,92.83976,6.406053,Potato
21,105,104,20.3766,91.2276,6.067665,Potato
11,55,54,20.31887,92.82223,6.406053,Potato
22,110,109,20.48186,93.90191,6.067665,Potato
23,115,114,18.28072,92.45878,6.419083,Potato
25,125,124,20.61205,90.84422,6.396379,Potato
24,120,119,23.43975,93.74461,6.375923,Potato
13,65,64,20.95628,92.99125,6.400338,Potato
31,155,154,23.79372,94.57646,6.465313,Potato
22,110,109,22.63714,93.84505,6.159021,Potato
9,45,44,21.53578,90.80819,6.399891,Potato
17,85,84,20.87855,90.49939,6.18677,Potato
16,80,79,21.26533,92.12535,6.159021,Potato
14,70,69,20.17885,92.17445,6.159021,Potato
12,60,59,22.12193,91.07574,6.399891,Potato
13,65,64,21.33565,90.7707,6.18677,Potato
15,75,74,21.746,90.14363,6.159021,Potato
22,110,109,20.60195,90.80015,6.159021,Potato
23,115,114,20.38872,90.79007,6.360955,Potato
25,125,124,20.98287,93.22981,6.404907,Potato
24,120,119,21.23483,93.90741,6.375923,Potato
27,135,134,20.03027,91.47356,6.400338,Potato
26,130,129,20.0485,94.03711,6.465313,Potato
28,140,139,20.87426,92.91186,6.159021,Potato
21,105,104,20.97081,94.65344,6.399891,Potato
29,145,144,20.06004,92.86597,6.18677,Potato
12,60,59,19.59221,90.33699,6.159021,Potato
23,115,114,20.77013,94.96219,6.159021,Potato
25,125,124,20.52135,94.81637,6.360955,Potato
21,105,104,20.62896,93.12603,6.404907,Potato
29,145,144,20.39078,91.89217,6.006053,Potato
27,135,134,20.39038,93.42402,6.067665,Potato
9,45,44,20.9108,90.8466,6.419083,Potato
8,40,39,20.70497,91.1485,6.067665,Potato
23,115,114,18.06486,90.71833,6.419083,Potato
6,30,29,18.13028,92.4884,6.396379,Potato
8,40,39,23.82724,94.1979,6.375923,Potato
21,105,104,23.19305,90.01506,6.400338,Potato
16,80,79,20.08966,91.91533,6.465313,Potato
15,75,74,20.86928,92.50969,6.399891,Potato
10,50,49,18.43966,91.39357,6.18677,Potato
9,45,44,21.14911,91.64193,6.159021,Potato
11,55,54,22.33376,91.79743,6.460955,Potato
13,65,64,21.723,90.60932,6.404907,Potato
12,60,59,19.55751,90.45773,6.406053,Potato
14,70,69,20.13708,91.46241,6.067665,Potato
22,110,109,20.9999,92.78226,6.159021,Potato
30,150,149,20.05941,91.81759,6.159021,Potato
15,75,74,20.7127,94.2912,6.360955,Potato
18,90,89,21.79793,94.55135,6.404907,Potato
16,80,79,20.70626,94.22253,6.006053,Potato
21,105,104,20.94982,91.34685,6.067665,Potato
11,55,54,20.84918,90.31529,6.419083,Potato
22,110,109,21.91041,90.97598,6.067665,Potato
23,115,114,20.93382,94.71203,6.419083,Potato
25,125,124,20.82112,93.32045,6.396379,Potato
24,120,119,20.52186,90.97818,6.375923,Potato
13,65,64,20.99628,91.48136,6.159021,Potato
31,155,154,20.76775,91.70293,6.360955,Potato
22,110,109,20.05276,94.47812,6.404907,Potato
9,45,44,21.65846,93.50574,6.006053,Potato
17,85,84,20.2507,94.73764,6.067665,Potato
16,80,79,20.97195,92.12439,6.419083,Potato
14,70,69,20.89736,90.02575,6.396379,Potato
12,60,59,19.55982,91.70294,6.375923,Potato
13,65,64,19.6569,94.92048,6.400338,Potato
15,75,74,18.7836,92.62665,6.465313,Potato
22,110,109,19.68291,90.78572,6.399891,Potato
23,115,114,18.41164,91.61002,6.18677,Potato
25,125,124,19.54128,92.73447,6.159021,Potato
24,120,119,20.13037,94.54128,6.460955,Potato
27,135,134,20.13037,90.49356,6.404907,Potato
26,130,129,19.2009,90.5981,6.406053,Potato
28,140,139,18.92157,91.47685,6.067665,Potato
21,105,104,18.47412,90.18452,6.406053,Potato
29,145,144,19.81069,94.76285,6.067665,Potato
12,60,59,19.86712,93.58066,6.419083,Potato
23,115,114,18.75928,93.56586,6.396379,Potato
25,125,124,19.67832,92.70785,6.375923,Potato
21,105,104,19.67832,90.45262,6.400338,Potato
29,145,144,18.91251,93.44006,6.465313,Potato
27,135,134,21.57937,92.48668,6.159021,Potato
9,45,44,18.26233,92.84416,6.399891,Potato
23,115,114,19.91331,94.89613,6.18677,Potato
6,30,29,19.72621,91.51862,6.159021,Potato
8,40,39,21.66025,90.68788,6.159021,Potato
8,32,16,22.75089,65.10652,6.732834,Tomato
21,84,42,23.8494,65.83289,6.12602,Tomato
16,64,32,22.60801,66.76853,6.161124,Tomato
15,60,30,21.18667,65.64381,6.44281,Tomato
10,40,20,23.41045,66.02411,6.732049,Tomato
9,36,18,22.86007,72.14451,6.243674,Tomato
11,44,22,22.48403,72.26595,6.266209,Tomato
13,52,26,22.02775,73.55324,6.350624,Tomato
12,48,24,21.91191,71.03273,6.002927,Tomato
14,56,28,23.71059,74.36976,6.342573,Tomato
22,88,44,21.37785,74.28618,6.163921,Tomato
30,120,60,22.84853,72.24226,6.121745,Tomato
15,60,30,23.10943,65.74973,6.13016,Tomato
18,72,36,23.25231,71.26003,6.440585,Tomato
16,64,32,23.67288,65.51673,6.185053,Tomato
21,84,42,23.76882,70.5634,6.157725,Tomato
11,44,22,23.34386,67.9325,6.776988,Tomato
22,88,44,22.63946,74.41094,6.431971,Tomato
23,92,46,22.45697,71.10935,6.708744,Tomato
25,100,50,22.96388,67.37768,6.01074,Tomato
24,96,48,21.07273,68.66258,6.365957,Tomato
13,52,26,22.44075,73.57286,6.668383,Tomato
31,124,62,22.71271,72.25738,6.746695,Tomato
22,88,44,21.70417,67.16218,6.031666,Tomato
9,36,18,22.43325,68.5065,6.400772,Tomato
17,68,34,21.25941,67.8837,6.448793,Tomato
16,64,32,22.92157,65.18792,6.25142,Tomato
14,56,28,22.81213,69.68849,6.274453,Tomato
12,48,24,21.12152,69.94807,6.135996,Tomato
13,52,26,21.11479,73.83876,6.19409,Tomato
15,60,30,23.59997,73.37479,6.327823,Tomato
22,88,44,23.12653,74.47859,6.212567,Tomato
23,92,46,22.98459,72.67088,6.640471,Tomato
25,100,50,22.12659,67.96911,6.685553,Tomato
24,96,48,22.5378,72.31099,6.32721,Tomato
27,108,54,22.49095,74.57578,6.355443,Tomato
26,104,52,22.35548,74.15319,6.085682,Tomato
28,112,56,22.20701,68.42334,6.78105,Tomato
21,84,42,22.44517,72.26312,6.630301,Tomato
29,116,58,22.76643,67.06231,6.4848,Tomato
12,48,24,22.19109,68.44031,6.566759,Tomato
23,92,46,23.61192,68.4803,6.170521,Tomato
25,100,50,23.86087,68.84881,6.01248,Tomato
21,84,42,21.42177,69.71184,6.54115,Tomato
29,116,58,22.36629,70.50149,6.341401,Tomato
27,108,54,23.99686,66.4683,6.150686,Tomato
9,36,18,21.8013,70.66687,6.438008,Tomato
8,32,16,23.80436,68.52534,6.547042,Tomato
23,92,46,23.71475,67.56696,6.399891,Tomato
6,24,24,23.34467,72.01836,6.18677,Tomato
8,32,31,22.31254,72.97841,6.159021,Tomato
21,84,83,23.50201,65.44341,6.660955,Tomato
16,64,63,23.4626,65.19622,6.504907,Tomato
15,60,59,23.06204,72.88179,6.706053,Tomato
10,40,39,22.35548,67.04151,6.067665,Tomato
9,36,35,22.20701,70.04557,6.419083,Tomato
11,44,43,22.44517,73.74145,6.396379,Tomato
13,52,51,22.76643,66.41327,6.375923,Tomato
12,48,47,22.19109,66.63636,6.700338,Tomato
14,56,55,23.61192,67.22512,6.565313,Tomato
22,88,87,23.86087,72.12739,6.399891,Tomato
30,120,119,21.42177,70.39647,6.18677,Tomato
15,60,59,22.36629,68.84881,6.159021,Tomato
18,72,71,23.99686,69.71184,6.660955,Tomato
16,64,63,21.8013,70.50149,6.504907,Tomato
21,84,83,23.80436,66.4683,6.706053,Tomato
11,44,43,23.71475,70.66687,6.067665,Tomato
22,88,87,23.34467,68.52534,6.419083,Tomato
23,92,91,22.31254,67.56696,6.396379,Tomato
25,100,99,23.50201,72.01836,6.375923,Tomato
24,96,95,23.4626,72.97841,6.700338,Tomato
13,52,51,23.06204,65.44341,6.565313,Tomato
31,124,123,22.35548,65.19622,6.159021,Tomato
22,88,87,22.20701,72.88179,6.660955,Tomato
9,36,35,22.44517,67.04151,6.504907,Tomato
17,68,67,22.76643,70.04557,6.706053,Tomato
16,64,63,22.19109,73.74145,6.067665,Tomato
14,56,55,23.61192,72.01836,6.419083,Tomato
12,48,47,23.80436,72.97841,6.396379,Tomato
13,52,51,23.71475,65.44341,6.375923,Tomato
15,60,59,23.34467,65.19622,6.700338,Tomato
22,88,87,22.31254,72.88179,6.565313,Tomato
23,92,91,23.50201,67.04151,6.399891,Tomato
25,100,99,23.4626,70.04557,6.18677,Tomato
24,96,95,23.06204,73.74145,6.159021,Tomato
27,108,107,22.35548,66.41327,6.660955,Tomato
26,104,103,23.99686,66.63636,6.504907,Tomato
28,112,111,21.8013,67.22512,6.706053,Tomato
21,84,83,23.80436,72.12739,6.067665,Tomato
29,116,115,23.71475,70.39647,6.706053,Tomato
12,48,47,23.34467,68.84881,6.067665,Tomato
23,92,91,22.31254,69.71184,6.419083,Tomato
25,100,99,23.50201,70.50149,6.396379,Tomato
21,84,83,23.4626,66.4683,6.375923,Tomato
29,116,115,23.06204,70.66687,6.700338,Tomato
27,108,107,22.35548,68.52534,6.565313,Tomato
9,36,35,23.34467,67.56696,6.159021,Tomato
23,92,46,23.71475,67.56696,6.399891,Tomato
6,24,24,23.34467,72.01836,6.18677,Tomato
8,32,31,22.31254,72.97841,6.159021,Tomato
25,5,5,29.48883,96.46241,5.381423,Tea
10,2,2,29.47156,97.78226,5.519011,Tea
25,5,5,29.82729,96.81759,5.254457,Tea
70,14,14,29.93061,97.2912,5.331436,Tea
45,9,9,29.94349,97.55135,5.507194,Tea
40,8,8,28.03306,97.22253,5.345255,Tea
50,10,10,29.88431,96.34685,5.631466,Tea
60,12,12,30.48883,95.31529,5.637177,Tea
55,11,11,30.47156,95.97598,5.20688,Tea
65,13,13,30.82729,97.71203,5.26441,Tea
5,1,1,30.93061,97.32045,5.294165,Tea
145,29,29,30.94349,95.97818,5.295435,Tea
70,14,14,29.03306,96.48136,5.195295,Tea
85,17,17,30.88431,96.70293,5.588033,Tea
75,15,15,31.48883,97.47812,5.430118,Tea
100,20,20,31.47156,97.50574,5.403143,Tea
50,10,10,31.82729,97.73764,5.22869,Tea
105,21,20,31.93061,97.12439,5.544618,Tea
110,22,21,31.94349,95.02575,5.304844,Tea
120,24,23,30.03306,96.70294,5.29262,Tea
115,23,22,31.88431,97.92048,5.268178,Tea
60,12,11,31.03306,97.62665,5.251035,Tea
150,30,29,29.51383,95.78572,5.575615,Tea
105,21,20,29.49656,96.61002,5.620136,Tea
40,8,7,29.85229,97.73447,5.369548,Tea
80,16,15,29.95561,97.54128,5.394366,Tea
75,15,14,29.96849,95.49356,5.634164,Tea
65,13,12,28.05806,95.5981,5.460755,Tea
55,11,10,29.90931,96.47685,5.658292,Tea
60,12,11,30.51383,95.18452,5.218101,Tea
70,14,13,30.49656,97.76285,5.355561,Tea
105,21,20,30.85229,97.58066,5.341727,Tea
110,22,21,30.95561,97.56586,5.277704,Tea
120,24,23,30.96849,97.70785,5.618323,Tea
115,23,22,29.05806,95.45262,5.510208,Tea
130,26,25,30.90931,97.44006,5.55043,Tea
125,25,24,31.51383,97.48668,5.552744,Tea
135,27,26,31.49656,97.84416,5.392199,Tea
100,20,19,31.85229,97.89613,5.626547,Tea
140,28,27,31.95561,96.44141,5.602779,Tea
55,11,10,31.96849,97.76126,5.46509,Tea
110,22,21,30.05806,96.79659,5.51338,Tea
120,24,23,31.90931,97.2702,5.200234,Tea
100,20,19,31.05806,97.53035,5.348699,Tea
140,28,27,29.53883,97.20153,5.549904,Tea
130,26,25,29.52156,96.32585,5.31069,Tea
40,8,7,29.87729,95.29429,5.277561,Tea
35,7,6,29.98061,95.95498,5.662313,Tea
110,22,21,29.99349,97.69103,5.355236,Tea
25,5,4,28.08306,97.29945,5.647934,Tea
35,7,6,29.93431,95.95718,5.376066,Tea
100,20,19,30.53883,96.46036,5.384371,Tea
75,15,14,30.52156,96.68193,5.281032,Tea
70,14,13,30.87729,97.45712,5.211905,Tea
45,9,8,30.98061,97.48474,5.505404,Tea
40,8,7,30.99349,97.71664,5.248202,Tea
50,10,9,29.08306,97.10339,5.316665,Tea
60,12,11,30.93431,95.00475,5.717608,Tea
55,11,10,31.53883,96.68194,5.999,Tea
65,13,12,31.52156,97.89948,4.881423,Tea
105,21,20,31.87729,97.60565,5.019011,Tea
145,29,28,31.98061,95.76472,4.754457,Tea
70,14,13,31.99349,96.58902,4.831436,Tea
85,17,16,30.08306,97.71347,5.007194,Tea
75,15,14,31.93431,97.52028,4.845255,Tea
100,20,19,31.08306,95.47256,5.131466,Tea
50,10,9,29.56383,95.5771,5.137177,Tea
105,21,20,29.54656,96.45585,4.70688,Tea
110,22,21,29.90229,95.16352,4.76441,Tea
120,24,23,30.00561,97.74185,4.794165,Tea
115,23,22,30.01849,97.55966,4.795435,Tea
60,12,11,28.10806,97.54486,4.695295,Tea
150,30,29,29.95931,97.68685,5.088033,Tea
105,21,20,30.56383,95.43162,4.930118,Tea
40,8,7,30.54656,97.41906,4.903143,Tea
80,16,15,30.90229,97.46568,4.72869,Tea
75,15,14,31.00561,97.82316,5.044618,Tea
65,13,12,31.01849,97.87513,4.804844,Tea
55,11,10,29.10806,97.2682,4.79262,Tea
60,12,11,30.95931,97.52835,4.768178,Tea
70,14,13,31.56383,97.19953,4.751035,Tea
105,21,20,31.54656,96.32385,5.075615,Tea
110,22,21,31.90229,95.29229,5.120136,Tea
120,24,23,32.00561,95.95298,4.869548,Tea
115,23,22,32.01849,97.68903,4.894366,Tea
130,26,25,30.10806,97.29745,5.134164,Tea
125,25,24,31.95931,95.95518,4.960755,Tea
135,27,26,31.10806,96.45836,5.158292,Tea
100,20,19,29.58883,96.67993,4.718101,Tea
140,28,27,29.57156,97.45512,4.855561,Tea
55,11,10,29.92729,97.48274,4.841727,Tea
110,22,21,30.03061,97.71464,4.777704,Tea
120,24,23,30.04349,97.10139,5.118323,Tea
100,20,19,28.13306,95.00275,5.010208,Tea
140,28,27,29.98431,96.67994,5.05043,Tea
130,26,25,30.58883,97.89748,5.052744,Tea
40,8,7,30.57156,97.60365,4.892199,Tea
110,22,21,30.92729,95.76272,5.126547,Tea
25,5,4,31.03061,96.58702,5.102779,Tea
35,7,6,31.04349,97.71147,4.96509,Tea
2,40,27,29.7377,47.54885,5.954627,mango
18,17,31,31.74592,45.16128,5.667508,mango
28,23,28,30.01821,50.09832,5.676033,mango
5,19,25,27.35111,54.43945,6.441328,mango
16,35,31,32.27652,50.19369,5.316876,mango
5,16,31,35.96055,48.69678,4.555689,mango
26,37,30,35.39986,49.45963,6.166174,mango
3,28,33,30.33724,48.88705,5.75505,mango
12,37,30,31.09779,47.41197,4.546466,mango
20,30,27,27.81006,51.59445,4.749104,mango
28,37,28,32.1341,50.52559,6.09787,mango
38,15,27,33.74627,48.50388,6.777788,mango
22,18,31,30.76455,47.93791,5.956027,mango
15,36,27,27.78912,53.96887,5.64371,mango
9,29,34,29.38472,45.88745,5.727423,mango
11,27,30,27.69638,48.56225,6.394743,mango
40,24,25,28.70595,50.4403,5.445008,mango
36,19,32,27.10711,50.70881,4.94295,mango
0,21,32,35.89856,54.25964,6.430139,mango
38,19,31,34.73824,49.08864,5.855119,mango
36,25,33,27.98393,53.33019,5.548585,mango
1,35,34,30.79376,46.69537,6.273398,mango
0,17,30,35.47478,47.97231,6.279134,mango
18,26,31,32.61126,47.74916,5.418475,mango
9,21,32,32.26935,53.56093,5.870116,mango
38,15,30,28.91862,48.13975,5.075505,mango
21,26,27,27.00316,47.67525,5.699587,mango
39,16,27,35.53845,52.94642,4.934965,mango
7,17,26,34.89227,48.75613,6.414527,mango
7,28,35,30.02086,46.78394,4.669108,mango
27,21,30,35.39155,52.48823,5.061082,mango
22,17,26,28.69818,47.71876,4.754435,mango
7,31,27,31.32864,47.5932,6.524114,mango
14,29,32,35.63627,48.97048,6.94252,mango
37,30,34,27.53908,53.6355,6.797779,mango
31,29,26,28.22373,47.40519,5.024125,mango
19,38,26,31.48452,48.77926,4.525722,mango
31,36,29,33.9368,52.7217,6.460543,mango
8,33,29,29.9808,49.48613,6.442393,mango
14,18,30,29.80747,52.13798,5.191265,mango
19,21,34,30.01593,53.19212,5.074273,mango
12,27,26,29.09382,45.56611,5.323072,mango
34,34,35,27.27433,47.16808,6.422711,mango
39,37,25,33.33025,45.61144,6.953247,mango
1,30,29,28.33333,51.39587,6.434198,mango
22,28,26,27.67256,45.41692,4.947683,mango
30,17,31,31.20478,54.49961,6.804437,mango
37,38,32,31.85745,45.53106,5.417341,mango
